panel_id,x_m,y_m,z_m,projected_radius_m,azimuth_deg,normal_x,normal_y,normal_z,projected_area_m2,equivalent_cell_size_m
3184,7.373559436,-23.801045576,-10.399079321,24.917045356,287.212971270,-0.273094793908,0.881520206532,0.385151085959,0.612686207723,0.782742746835
3185,10.642013071,22.534456531,-10.389698102,24.920958516,64.720735320,-0.394148632256,-0.834609501153,0.384803633398,0.612686207723,0.782742746835
3186,-23.072517687,-9.429110511,-10.380308404,24.924871061,202.228499371,0.854537692106,0.349226315208,0.384455866826,0.612686207723,0.782742746835
3187,23.385898930,-8.633883989,-10.370910206,24.928782993,339.736263421,-0.866144404819,0.319773481083,0.384107785390,0.612686207723,0.782742746835
3188,-11.413719748,22.166782516,-10.361503482,24.932694311,117.244027471,0.422730361048,-0.820991945021,0.383759388234,0.612686207723,0.782742746835
3189,-6.558353238,-24.058725495,-10.352088211,24.936605015,254.751791521,0.242901971781,0.891063907241,0.383410674497,0.612686207723,0.782742746835
3190,21.090667658,13.312138501,-10.342664369,24.940515106,32.259555571,-0.781135839200,-0.493042166694,0.383061643315,0.612686207723,0.782742746835
3191,-24.547669598,4.431279175,-10.333231933,24.944424584,169.767319621,0.909172948072,-0.164121450929,0.382712293818,0.612686207723,0.782742746835
3192,15.109768892,-19.852310343,-10.323790879,24.948333449,307.275083671,-0.559621070061,0.735270753426,0.382362625135,0.612686207723,0.782742746835
3193,2.268925000,24.848870101,-10.314341182,24.952241702,84.782847721,-0.084034259245,-0.920328522275,0.382012636389,0.612686207723,0.782742746835
3194,-18.461095902,-16.792776070,-10.304882821,24.956149343,222.290611771,0.683744292666,0.621954669269,0.381662326699,0.612686207723,0.782742746835
3195,24.959901828,-0.087834401,-10.295415770,24.960056373,359.798375821,-0.924440808429,0.003253125974,0.381311695181,0.612686207723,0.782742746835
3196,-18.348194689,16.927586652,-10.285940006,24.963962790,137.306139871,0.679562766271,-0.626947653761,0.380960740946,0.612686207723,0.782742746835
3197,2.095295018,-24.879795037,-10.276455504,24.967868597,274.813903921,-0.077603519199,0.921473890246,0.380609463102,0.612686207723,0.782742746835
3198,15.263441698,19.764028787,-10.266962240,24.971773793,52.321667971,-0.565312655466,-0.732001066192,0.380257860752,0.612686207723,0.782742746835
3199,-24.609043769,-4.263739583,-10.257460191,24.975678378,189.829432021,0.911446065500,0.157916280859,0.379905932994,0.612686207723,0.782742746835
3200,21.029344305,-13.481328295,-10.247949331,24.979582353,327.337196071,-0.778864603898,0.499308455377,0.379553678924,0.612686207723,0.782742746835
3201,-6.400877659,24.149602974,-10.238429636,24.983485717,104.844960121,0.237069542924,-0.894429739763,0.379201097632,0.612686207723,0.782742746835
3202,-11.594825425,-22.134353526,-10.228901082,24.987388472,242.352724171,0.429437978700,0.819790871347,0.378848188204,0.612686207723,0.782742746835
3203,23.504874448,8.490317068,-10.219363643,24.991290618,19.860488221,-0.870550905483,-0.314456187721,0.378494949724,0.612686207723,0.782742746835
3204,-23.070490783,9.618320324,-10.209817294,24.995192154,157.368252271,0.854462621590,-0.356234086072,0.378141381267,0.612686207723,0.782742746835
3205,10.516020828,-22.679681674,-10.200262012,24.999093081,294.876016321,-0.389482252899,0.839988210149,0.377787481909,0.612686207723,0.782742746835
3206,7.566898759,23.830478848,-10.190697769,25.002993400,72.383780371,-0.280255509597,-0.882610327717,0.377433250719,0.612686207723,0.782742746835
3207,-21.680233751,-12.462430242,-10.181124543,25.006893111,209.891544421,0.802971620421,0.461571490443,0.377078686760,0.612686207723,0.782742746835
